,File_name,QR_name,Label,Location_X,Location_Y,Area,Perimeter,Major_axis,Minor_axis,Orientaion,Eccentricity,Solidity,Median_R,Median_G,Median_B,std_R,std_G,std_B,Mean_R,Mean_G,Mean_B
1,IMG_0003.JPG,b'advanced_22_2010008-008_2',2,903,2506,98585,1673.94235098623,472,273,1.071235906290398,0.8154216438118308,0.8656539491592395,53.0,131.0,131.0,10.897482218948147,19.231441020102245,21.053676471340147,53.61948186318266,129.06336728069465,129.26802523736103
2,IMG_0003.JPG,b'advanced_22_2010008-008_2',3,1116,1446,83073,1507.4915574973977,387,282,-1.0965370002261507,0.686260232741084,0.87147128245476,56.0,130.0,125.0,12.786149348799624,19.57801633990303,20.353697982029246,58.64846157550077,133.13039291217257,125.69935718412943
3,IMG_0003.JPG,b'advanced_22_2010008-008_2',4,1476,2032,103868,1859.0794359760775,436,316,-1.4975838924582499,0.6887111353295896,0.8339729898993143,48.0,126.0,124.0,10.865860664286693,17.491980507062657,17.59268078382665,49.686974688784694,126.2790876794362,122.15639230939567
4,IMG_0003.JPG,b'advanced_22_2010008-008_2',5,1587,2891,91880,1566.6458864299484,427,279,0.9267058423482792,0.756618809180436,0.894270169257273,52.0,126.0,118.0,9.866295988493826,14.734899459936974,15.825380298599528,52.62575779013703,125.74961634323404,117.72910022964986
5,IMG_0003.JPG,b'advanced_22_2010008-008_2',6,1739,920,81559,1544.9301576774103,389,272,0.2900958075464744,0.7147739665075764,0.8957015463011773,51.0,113.0,102.0,6.384219013572131,13.631551499043793,17.890878100415403,50.435628632384315,112.14322322764168,102.40991686897668
6,IMG_0003.JPG,b'advanced_22_2010008-008_2',7,1897,1519,83758,1493.8347032479053,360,310,-1.5409637057713885,0.5063239113188326,0.8554765698410753,53.0,125.0,121.0,7.00458403668158,10.95235916398939,12.852053528950428,52.83598982771589,124.26186467996705,120.07459675012238
7,IMG_0003.JPG,b'advanced_22_2010008-008_2',8,2231,2628,62042,1256.798123321446,305,267,0.9456811953292877,0.4816136018010949,0.855291636223273,49.0,122.0,126.0,9.55947624285194,16.947431791889496,17.086638021297848,51.409583984784256,121.7814026208475,123.8422655985558
8,IMG_0003.JPG,b'advanced_22_2010008-008_2',9,2492,1140,67150,1463.006276123159,333,264,-0.9881701116557627,0.6080742323398167,0.8311260737183455,52.0,113.0,105.0,5.673212498719291,11.4738294118525,14.35742237858921,52.221403148222606,111.08475182057812,104.12056769274301
9,IMG_0003.JPG,b'advanced_22_2010008-008_2',10,2567,1922,101134,2084.417531092702,417,324,0.7005841616000386,0.6299292815367399,0.8323032482655891,52.0,119.0,115.0,7.652437515708987,16.359701585029196,17.996459530324877,52.75236569665688,119.24832646119467,112.53903275884231
0,IMG_0004.JPG,b'advanced_22_W1130-220_2',1,571,1741,38022,853.8204178980325,234,210,0.5998711945000658,0.439458218295109,0.929337863270843,59.0,147.0,147.0,16.163219734240478,17.343842153172794,16.788394117443456,58.9440046290208,144.73251624102468,145.11540990505247
1,IMG_0004.JPG,b'advanced_22_W1130-220_2',2,650,2991,48687,1005.9625535217635,304,207,0.9615848009878049,0.7300398211827253,0.9357126383763837,60.0,146.0,147.0,16.268735771472446,17.178496990707263,16.88457731189174,61.499404346218626,144.83142997987102,145.58193320461734
2,IMG_0004.JPG,b'advanced_22_W1130-220_2',3,840,2392,56480,1187.668181006535,323,229,0.2590492169260917,0.7053179624918992,0.8980474464160784,59.0,141.0,140.0,13.811053676561997,13.577148610680956,13.25775039600964,59.32725437773332,140.18072203827973,138.24550717965968
