"genotype","rep","image","avg_cone_weight_adj","SE","df","lower.CL","upper.CL"
"2014009-041","2","12",0.168185830145147,0.0355236255090526,141.320774948879,0.105290235547967,0.245743023854116
"2014009-046","2","12",0.158048605673919,0.024130591295677,152.908295450753,0.113971085366271,0.20931586610573
"2014010-010","2","12",0.108148578348984,0.019961034120943,152.908295340501,0.0723084341944007,0.151178462627813
"W1406-001","2","12",0.0921230055739622,0.0184228441825729,152.908295424515,0.059321709092433,0.132114042179675
"W1411-017","2","12",0.116695715495347,0.0207348111948632,152.908295351621,0.0793268975393301,0.161254273575602
"W1425-006","2","12",0.200531431894259,0.0271809015191144,152.908295431657,0.150427719441555,0.257824884471142
"2014001-005","1","13",0.221400440841083,0.0285602411582717,152.908296942179,0.16857170533233,0.281418916472881
"2014005-019","1","13",0.135282866126364,0.0223251315922508,152.908295457751,0.0947722115753095,0.182983260801578
"2014005-024","1","13",0.146047837133037,0.0231963789200882,152.908295413801,0.103815946570215,0.195469467820051
"2014006-046","1","13",0.115084889969012,0.0205912059802116,152.90829532614,0.0779997784405365,0.159359741621744
"2014007-001","1","13",0.150940420702343,0.0235817161574431,152.908295420774,0.107947257985938,0.201123323542933
"2014008-016","1","13",0.123957761489597,0.0213702445494942,152.908295419679,0.0853335815508636,0.169771681552518
"2014009-010","1","13",0.135230139333705,0.0223207805338421,152.908295307035,0.094728080732307,0.182921938059374
"2014009-012","1","13",0.236708243227359,0.0295310793606551,152.908295321485,0.181961519994911,0.298644706584068
"2014009-034","1","13",0.112974988129605,0.0204015790191379,152.908295403772,0.0762645035800325,0.156875212803377
"2014009-041","1","13",0.142009987515609,0.0320508457534863,166.340149835689,0.0857802842661702,0.212338056247103
"2014009-046","1","13",0.122981855088242,0.0212859554795874,152.908295349965,0.084524196615651,0.168629253685072
"2014010-010","1","13",0.138337595324392,0.0225757787757209,152.908295251272,0.0973317622574544,0.186533168515644
"W1406-001","1","13",0.124146403331277,0.0213864992384551,152.908295432027,0.0854901106329576,0.169992436153774
"W1411-017","1","13",0.159379178190609,0.0242319531777396,152.908295398359,0.115101407372986,0.210846689132435
"W1425-006","1","13",0.20392692035934,0.027410055187105,152.908295401247,0.153370491975101,0.261673088867781
"2014001-005","2","13",0.223874401927982,0.0287193660394633,152.908296608669,0.170731299341317,0.284207244637943
"2014005-019","2","13",0.137218226507234,0.0224842564734425,152.908295436168,0.0963932048790628,0.18523298825958
"2014005-024","2","13",0.148058457526731,0.0233555038012799,152.908295392251,0.10551219988679,0.197794455290881
"2014006-046","2","13",0.116870470534634,0.0207503308614033,152.908295304561,0.079470991929044,0.161459689264498
"2014007-001","2","13",0.152984327264612,0.0237408410386348,152.908295399197,0.109676797471087,0.203481597182339
"2014008-016","2","13",0.125810636898878,0.0215293694306859,152.908295398134,0.0868720898830296,0.17193892403893
"2014009-010","2","13",0.137165123861816,0.0224799054150338,152.90829528549,0.0963486981832992,0.18517128966462
"2014009-012","2","13",0.239266067177566,0.0296902042418467,152.908295299966,0.184204976867983,0.301516897611426
"2014009-034","2","13",0.114744188355149,0.0205607039003296,152.908295382193,0.0777193367284634,0.158958780106051
"2014009-041","2","13",0.143992714510875,0.0328694805630523,141.320774962747,0.0863440795482408,0.216302948585274
"2014009-046","2","13",0.124827449446231,0.0214450803607791,152.908295328356,0.0860554238965237,0.170789215120193
"2014010-010","2","13",0.140294607089019,0.0227349036569126,152.908295229674,0.0989744069449607,0.188804547357407
"W1406-001","2","13",0.126000682851722,0.0215456241196467,152.908295410294,0.0870300230762874,0.17216108275135
"W1411-017","2","13",0.161479253472049,0.0243910780589313,152.908295376609,0.116887115577304,0.213261131491014
"W1425-006","2","13",0.206301526179171,0.0275691800682966,152.908295379798,0.155430730717803,0.264362061764756
"2014001-005","1","14",0.266002904035228,0.0313051521275518,152.908296921863,0.207751323075011,0.331444225118505
"2014005-019","1","14",0.129683906232713,0.0218582642193124,152.908295454871,0.0900955947515297,0.176461957838057
"2014005-024","1","14",0.146407858776618,0.0232249519491012,152.908295419577,0.10411951934455,0.195885938332874
"2014006-046","1","14",0.111310617080627,0.0202507412594285,152.908295374554,0.0748981275728687,0.154912846712606
"2014007-001","1","14",0.142319261836085,0.022898364847876,152.908295321381,0.100676127802586,0.191152135993845
"2014008-016","1","14",0.145408727710707,0.0231455692713886,152.908295387812,0.103277216677604,0.194729978868022
"2014009-010","1","14",0.11191279015582,0.0203054440514875,152.908295381543,0.0753922298252169,0.15562309061064
"2014009-012","1","14",0.203115641824606,0.0273554784055848,152.908295355482,0.152667035316722,0.260753988456726
"2014009-034","1","14",0.171719933645554,0.0251526058653141,152.908295366867,0.125623321599343,0.225006285815993
"2014009-041","1","14",0.11797752808989,0.0292132379185938,166.340149831461,0.0673501937779402,0.182703227883902
"2014009-046","1","14",0.149332256468961,0.0234557564394143,152.908295337428,0.10658793974108,0.19926631332109
"2014010-010","1","14",0.0905815310482849,0.0182680612101386,152.908295371792,0.0580860237698528,0.13026677845094
"W1406-001","1","14",0.13395547115911,0.0222153345431787,152.908295416554,0.0936617316317597,0.18143895081065
"W1411-017","1","14",0.163787324357337,0.0245647740471146,152.908295428007,0.118852032710153,0.215912356128703
"W1425-006","1","14",0.245820257415864,0.03009410723363,152.9082953733,0.189961216452889,0.308869038503061
"2014001-005","2","14",0.26871397578881,0.0314642770087434,152.908296588371,0.210148027750587,0.334469663950344
"2014005-019","2","14",0.131578937715746,0.0220173891005041,152.908295433289,0.0916762591574476,0.178671356398222
"2014005-024","2","14",0.148420947363282,0.0233840768302929,152.908295398026,0.105818240854095,0.198213393996673
"2014006-046","2","14",0.113066787651597,0.0204098661406201,152.908295352973,0.0763399310667256,0.156983384360705
"2014007-001","2","14",0.144304139203454,0.0230574897290677,152.908295299808,0.102346638092835,0.19345138043835
"2014008-016","2","14",0.147414959069634,0.0233046941525802,152.908295366266,0.104969080959411,0.197050577304084
"2014009-010","2","14",0.113673686058738,0.0204645689326792,152.908295359999,0.0768387586510208,0.157698353590686
"2014009-012","2","14",0.205485533197521,0.0275146032867764,152.90829533397,0.154722559612508,0.263438246906786
"2014009-034","2","14",0.173899536669417,0.0253117307465058,152.908295345281,0.127488557546081,0.227500255916995
"2014009-041","2","14",0.119785323680443,0.0299795001016677,141.320774959566,0.0678498698491563,0.186382376623498
"2014009-046","2","14",0.151365282389544,0.023614881320606,152.908295315837,0.108306598584542,0.201613706318811
"2014010-010","2","14",0.0921664339192941,0.0184271860913303,152.908295350217,0.0593565595637531,0.132166048399074
"W1406-001","2","14",0.135881347060593,0.0223744594243703,152.908295394827,0.095273240456126,0.183679193789267
"W1411-017","2","14",0.165916149342906,0.0247238989283063,152.908295406275,0.120666490618599,0.21835554819141
"W1425-006","2","14",0.248426716792071,0.0302532321148217,152.908295351881,0.192253308751961,0.311789864956418
"2014001-005","1","15",0.266201055832488,0.0313168099276574,152.908296911844,0.207926443725155,0.331665408062889
"2014005-019","1","15",0.126275631326462,0.0215691188666302,152.908295407163,0.0872585553345227,0.172482447442598
"2014005-024","1","15",0.114416580684664,0.0205313313491763,152.908295298104,0.0774497574628375,0.158573144030769
"2014006-046","1","15",0.104898952095047,0.0196588543236273,152.908295368974,0.0696557942755348,0.147331850038784
"2014007-001","1","15",0.147680564464966,0.0233256793595925,152.908295364633,0.105193227984805,0.197357641069356
"2014008-016","1","15",0.124254095904624,0.021395773240012,152.908295370236,0.0855794814909423,0.170118450442529
"2014009-010","1","15",0.105528456774111,0.0197177530530789,152.90829528679,0.0701689386387002,0.148077715033809
"2014009-012","1","15",0.202698452206268,0.0273273705561396,152.908295320251,0.152305375558913,0.260281268977885
"2014009-034","1","15",0.122554420513484,0.0212489326495608,152.908295357022,0.0841699043350177,0.168128676816185
"2014009-041","1","15",0.120162297128592,0.0294824900428549,166.3401497599,0.0690033707766279,0.185419588962706
"2014009-046","1","15",0.158666236481808,0.0241776947308842,152.908295347349,0.114495658638657,0.210026554449201
"2014010-010","1","15",0.105536248556113,0.019718480978049,152.908295308643,0.0701752923323413,0.148086944904154
"W1406-001","1","15",0.112953920901896,0.020399676718651,152.908295404223,0.0762471945367087,0.156850387391281
"W1411-017","1","15",0.165451586261213,0.0246892613658106,152.908295412275,0.12027035749707,0.21782255514955
"W1425-006","1","15",0.296426273994185,0.0330469190884916,152.908295456991,0.234733658639977,0.365308629472552
"2014001-005","2","15",0.268913134609171,0.031475934808849,152.908296578341,0.21032415542383,0.334691853917829
"2014005-019","2","15",0.128145685880149,0.0217282437478218,152.908295385579,0.0888142428110937,0.174666869073416
"2014005-024","2","15",0.116196989164983,0.020690456230368,152.90829527655,0.0789157988660418,0.16066791958822
"2014006-046","2","15",0.106603994338899,0.019817979204819,152.908295347391,0.0710464694422744,0.149351259359764
"2014007-001","2","15",0.149702354078265,0.0234848042407842,152.908295343058,0.106900650520984,0.199693797759791
"2014008-016","2","15",0.126109176531085,0.0215548981212037,152.908295348686,0.0871201950402878,0.172287898146123
"2014009-010","2","15",0.107238586803018,0.0198768779342706,152.908295265249,0.0715647015904934,0.150102212139846
"2014009-012","2","15",0.205065915569315,0.0274864954373313,152.908295298737,0.15435847184483,0.262963099418077
"2014009-034","2","15",0.124396816768508,0.0214080575307524,152.908295335441,0.0856979335129254,0.170285440148341
"2014009-041","2","15",0.12198669143717,0.0302537217078857,141.32077490429,0.0695091309280604,0.189125851058148
"2014009-046","2","15",0.160761624814691,0.0243368196120759,152.908295325742,0.116276679894418,0.212436309859223
"2014010-010","2","15",0.107246441464572,0.0198776058592407,152.908295287058,0.0715711181636879,0.150111504889743
"W1406-001","2","15",0.11472295680308,0.0205588015998427,152.908295382491,0.07770186336078,0.158933790369596
"W1411-017","2","15",0.167591164699794,0.0248483862470023,152.90829539053,0.122095568858527,0.220276500665269
"W1425-006","2","15",0.29928780291375,0.0332060439696833,152.908295435563,0.237280820482402,0.368484525469274
"2014001-005","1","16",0.231479447081304,0.0292030927476176,152.908296949018,0.177380694127111,0.292767940158536
"2014005-019","1","16",0.172498669349172,0.025209573846263,152.908295515642,0.126289511373807,0.225897567448653
"2014005-024","1","16",0.141240783168592,0.0228114392957569,152.908295417065,0.0997693792351781,0.189901927226195
"2014006-046","1","16",0.101318511164091,0.0193204407361957,152.908295369911,0.0667439231466559,0.14308283930575
"2014007-001","1","16",0.166426740004782,0.0247619123910197,152.908295384622,0.121101981892618,0.218941238241158
"2014008-016","1","16",0.154361916541431,0.02384749193774,152.908295413611,0.110843687257271,0.205069885949782
"2014009-010","1","16",0.103951087113422,0.0195698342501981,152.908295385654,0.0688837973296303,0.146208117021427
"2014009-012","1","16",0.20408265988935,0.0274205197554583,152.908295325839,0.153505557706199,0.261849502196758
"2014009-034","1","16",0.130381141020489,0.0219169450260879,152.908295391715,0.0906768997514111,0.177275122413775
"2014009-041","1","16",0.140796226938552,0.0319135824000284,166.340149770504,0.0848375265873349,0.210853292771906
"2014009-046","1","16",0.148554286843999,0.0233945784499561,152.908295332852,0.105930833337393,0.198367480474856
"2014010-010","1","16",0.108420569171822,0.0199861190960708,152.908295290763,0.0725308671463158,0.151500011321612
"W1406-001","1","16",0.0970519632646066,0.0189092712676891,152.908295416333,0.0632896815505041,0.138003985102899
"W1411-017","1","16",0.119017063720884,0.020940027387867,152.908295343092,0.0812428207032263,0.163981046862787
