"genotype","rep","image","openness","SE","df","asymp.LCL","asymp.UCL"
"2014001-005","1","14",3.9503538988234,0.115524047264251,Inf,3.72717540591146,4.18002134988393
"2014005-019","1","14",3.22389612528338,0.104355780027153,Inf,3.02260660954564,3.43167375040925
"2014005-024","1","14",3.78215436118242,0.109154936552279,Inf,3.57124002308514,3.99911951183958
"2014006-046","1","14",3.70539934405885,0.109223955568465,Inf,3.49441630699896,3.92256634532535
"2014007-001","1","14",3.30171843807097,0.104288936717938,Inf,3.10047941305419,3.50928453296046
"2014008-016","1","14",3.9374197211848,0.112584855745847,Inf,3.71984906677159,4.16117359170459
"2014009-010","1","14",3.72632572675432,0.110792057987345,Inf,3.51234081826241,3.94663770511895
"2014009-012","1","14",3.15296342446404,0.101912554718326,Inf,2.95638202258001,3.35587189622078
"2014009-034","1","14",3.56962636218321,0.108437526411263,Inf,3.36025625078088,3.78532354345826
"2014009-041","1","14",3.74303807029587,0.112444511556976,Inf,3.52589493434401,3.96666932016575
"2014009-046","1","14",3.39671813321925,0.104569214908664,Inf,3.1948578457749,3.60476163600012
"2014010-010","1","14",3.29113115925255,0.104121596191616,Inf,3.09022011564051,3.49836927273729
"W1406-001","1","14",3.09841588278761,0.101027144326212,Inf,2.90356985338366,3.29958898206427
"W1411-017","1","14",3.6534696986517,0.109703624625281,Inf,3.441618080349,3.87164838682711
"W1425-006","1","14",3.5550749933883,0.108216281155845,Inf,3.34613851471834,3.77033854193098
"2014001-005","2","14",4.02125663207791,0.116548578455023,Inf,3.79606967200298,4.25293170444535
"2014005-019","2","14",3.28797900364756,0.105394780080473,Inf,3.08465351245668,3.49779345868917
"2014005-024","2","14",3.85153800085718,0.110151610244101,Inf,3.6386702182196,4.07045659605466
"2014006-046","2","14",3.77407855552552,0.110224876076973,Inf,3.56113337672116,3.99320695134367
"2014007-001","2","14",3.36656637623275,0.105308108662951,Inf,3.16332981090969,3.57613001142852
"2014008-016","2","14",4.00820680168388,0.113599261620415,Inf,3.78864832316374,4.23394924605646
"2014009-010","2","14",3.79519771024719,0.111811229932359,Inf,3.579215261449,4.0175072289181
"2014009-012","2","14",3.21634088891109,0.10293172666334,Inf,3.01776194672078,3.42124690097411
"2014009-034","2","14",3.6370413927141,0.109456698356277,Inf,3.42567374100548,3.85473611429542
"2014009-041","2","14",3.81206361801505,0.113483927198569,Inf,3.59288368536033,4.03773250562705
"2014009-046","2","14",3.46248787974213,0.105583153268354,Inf,3.25864068558674,3.67251904114703
"2014010-010","2","14",3.35587554931247,0.10514076813663,Inf,3.15296696539415,3.56511120310349
"W1406-001","2","14",3.16124546700808,0.102046316271225,Inf,2.96440189729786,3.36441610659103
"W1411-017","2","14",3.7216681739925,0.110722796570294,Inf,3.50781901538353,3.94184440247419
