"genotype","rep","image","length","SE","df","asymp.LCL","asymp.UCL"
"2014007-001","1","11",2.92018725026988,0.256636120248036,Inf,2.4388498271332,3.44484493276968
"2014008-016","1","11",3.23930064442181,0.272293260436847,Inf,2.72759723122266,3.79496719860107
"2014009-010","1","11",2.75586047062245,0.249310772041884,Inf,2.28888046614404,3.26616073446398
"2014009-012","1","11",4.14832524851485,0.305878414779452,Inf,3.57047470158048,4.76949605481234
"2014009-034","1","11",3.61773223509352,0.285647640243987,Inf,3.07953327762801,4.19925145192215
"2014009-041","1","11",3.31119899995803,0.273278252565544,Inf,2.79724359685308,3.86847466242609
"2014009-046","1","11",3.7473153702564,0.290718422290975,Inf,3.19917786260535,4.33877313727058
"2014010-010","1","11",3.46139127948783,0.279407319205752,Inf,2.93542312650923,4.03067969182955
"W1406-001","1","11",2.97053219785265,0.258838910376992,Inf,2.48487738539772,3.49950726967071
"W1411-017","1","11",2.65073153658602,0.244509255568527,Inf,2.19316233146657,3.15162100106859
"W1425-006","1","11",4.38591067268569,0.314515694596798,Inf,3.79113136838493,5.02401023634958
"2014001-005","2","11",4.21088548861403,0.308176236040771,Inf,3.62853129476458,4.83655994182663
"2014005-019","2","11",2.82024352544796,0.258251206826544,Inf,2.33679135870854,3.34911748739661
"2014005-024","2","11",3.47132343437506,0.279807899299171,Inf,2.94457015884044,4.04139696927281
"2014006-046","2","11",2.85541140264397,0.253773795778234,Inf,2.37968403238017,3.37445903227089
"2014007-001","2","11",2.98661339618587,0.259538586622599,Inf,2.49958724348871,3.51695980824615
"2014008-016","2","11",3.30924230046282,0.275206695904458,Inf,2.79182698332576,3.87061740787977
"2014009-010","2","11",2.82040122912077,0.252213238416447,Inf,2.34773249508188,3.33639022252278
"2014009-012","2","11",4.22742530424565,0.308780881154015,Inf,3.6438860277508,4.85428484010363
"2014009-034","2","11",3.69162532363512,0.28855010661855,Inf,3.14773763660913,4.27883327002423
"2014009-041","2","11",3.3819084735728,0.276180718940107,Inf,2.86226434090738,3.94487286560135
"2014009-046","2","11",3.82251356927194,0.293620888665538,Inf,3.26868733206041,4.4196600658466
"2014010-010","2","11",3.53367824331882,0.282309785580315,Inf,3.00202136077973,4.10865538522102
"W1406-001","2","11",3.03752529467337,0.261741376751555,Inf,2.54618175265795,3.57218909605191
"W1411-017","2","11",2.71403648779029,0.24741172194309,Inf,2.25077855311035,3.22061468183334
"W1425-006","2","11",4.46723377887529,0.317418160971361,Inf,3.86676574501405,5.11102207209966
"2014001-005","1","12",3.89405036860316,0.298546550932975,Inf,3.33089145280645,4.50117242788101
"2014005-019","1","12",2.67675246339314,0.245706438212824,Inf,2.21683682340794,3.17998836274145
"2014005-024","1","12",3.17136746098766,0.26744575797561,Inf,2.66884353721901,3.71721164411944
"2014006-046","1","12",3.10961276295657,0.26482902763208,Inf,2.61221753641849,3.65032824885777
"2014007-001","1","12",3.23103245400545,0.269949850334001,Inf,2.72360059940039,3.78178456797363
"2014008-016","1","12",2.77763441894459,0.252134488544464,Inf,2.30543979727696,3.29378883089211
"2014009-010","1","12",3.03495611192458,0.261630661017675,Inf,2.54382956876009,3.56940291445219
"2014009-012","1","12",4.30753945794869,0.311693010088265,Inf,3.71829251362437,4.94010666163613
"2014009-034","1","12",3.64550309244392,0.28674190511299,Inf,3.10515941524561,4.22916702900534
"2014009-041","1","12",3.28794140084317,0.272316818948061,Inf,2.77587037300202,3.84333268804744
"2014009-046","1","12",3.72861962275093,0.289992303211393,Inf,3.18190528234434,4.31865422252064
"2014010-010","1","12",3.10828569023991,0.264772511771704,Inf,2.61100123275272,3.64889040709021
"W1406-001","1","12",2.7477132874348,0.248941979068497,Inf,2.28145610390198,3.25729073033074
"W1411-017","1","12",2.65895322617591,0.244888155276294,Inf,2.20064139127548,3.16058532043946
"W1425-006","1","12",4.97165053659237,0.334859579744403,Inf,4.33699795009668,5.64962338245117
"2014001-005","2","12",3.9706994693631,0.301458970689999,Inf,3.40183063815161,4.58352808888943
"2014005-019","2","12",2.7403655437171,0.248608904587387,Inf,2.27476117417143,3.24929017262589
"2014005-024","2","12",3.24057577566719,0.270348224350173,Inf,2.73236312233806,3.79210868835944
"2014006-046","2","12",3.17814758740378,0.267731494006643,Inf,2.67506363130522,3.72455180286546
"2014007-001","2","12",3.30088526831726,0.272852316708564,Inf,2.78776468415172,3.85732611184592
"2014008-016","2","12",2.84242817016964,0.25506802111153,Inf,2.36448560567319,3.36433387564619
"2014009-010","2","12",3.10266774544596,0.264533127392238,Inf,2.60585247272099,3.64280327753405
"2014009-012","2","12",4.38813606572392,0.314595476462828,Inf,3.79320039183912,5.02639199897184
"2014009-034","2","12",3.71967782127858,0.289644371487553,Inf,3.1736454145198,4.30903048740049
"2014009-041","2","12",3.35840342207831,0.275219285322624,Inf,2.84064366467667,3.91948343884306
"2014009-046","2","12",3.80363093429876,0.292894769585956,Inf,3.25122786433169,4.39935426362895
"2014010-010","2","12",3.17680596871755,0.267674978146267,Inf,2.67383278166989,3.72309941512834
"W1406-001","2","12",2.8121591265365,0.25184444544306,Inf,2.3402132134432,3.32742529899292
"W1411-017","2","12",2.72235569803332,0.247790621650857,Inf,2.25835513357241,3.22967652185735
"W1425-006","2","12",5.05820972221525,0.337762046118966,Inf,4.41786840615908,5.74187129763454
"2014001-005","1","13",3.84373937108715,0.294434974845336,Inf,3.28831755428292,4.44248144725455
"2014005-019","1","13",2.70017489937722,0.246779101554961,Inf,2.23815687787391,3.20551318024366
"2014005-024","1","13",3.15156261776227,0.266609365369494,Inf,2.65067799337854,3.69576750150912
"2014006-046","1","13",2.66056294338681,0.244962271103281,Inf,2.2021058441348,3.16234030200193
"2014007-001","1","13",3.09444782154208,0.264182480068923,Inf,2.59831980494208,3.6338960975052
"2014008-016","1","13",3.05242279724908,0.262382445242741,Inf,2.55982278407932,3.58834306978197
"2014009-010","1","13",2.99773521923702,0.260021384285461,Inf,2.50976280050883,3.52902789732833
"2014009-012","1","13",4.16365275366422,0.306442983607894,Inf,3.58469567215931,4.78593009453225
"2014009-034","1","13",3.17102727698641,0.267431413499745,Inf,2.66853146787383,3.7168433454621
"2014009-041","1","13",3.2763583601272,0.271836725275142,Inf,2.76522829859417,3.83080868102334
"2014009-046","1","13",3.24395434329613,0.268788484521938,Inf,2.73852721467794,3.79215871292214
"2014010-010","1","13",3.24375374665384,0.270480754544773,Inf,2.73528133891643,3.79554641375437
"W1406-001","1","13",2.82772224869882,0.254397640538218,Inf,2.35109192980693,3.34831235622068
"W1411-017","1","13",2.87760199385339,0.254757978284173,Inf,2.39994566132374,3.39857858574617
"W1425-006","1","13",4.28521829348109,0.307029515195201,Inf,3.70457780401561,4.90811138796238
"2014001-005","2","13",3.91989413096855,0.297337441219857,Inf,3.35878358460391,4.52432493669634
"2014005-019","2","13",2.76406406022484,0.249681567929524,Inf,2.29635730916104,3.27509107065175
"2014005-024","2","13",3.22055566293495,0.269511831744057,Inf,2.71398230899074,3.77044927624228
"2014006-046","2","13",2.72398449106748,0.247864737477844,Inf,2.25983866225499,3.23145057924309
"2014007-001","2","13",3.16281623852221,0.267084946443486,Inf,2.66099949236172,3.70795324404581
"2014008-016","2","13",3.12032792389582,0.265284911617304,Inf,2.62203918116557,3.66193692598918
"2014009-010","2","13",3.0650326594645,0.262923850660024,Inf,2.57137151117582,3.60201406711629
"2014009-012","2","13",4.24289811729515,0.309345449982456,Inf,3.65825230622976,4.87086418772366
"2014009-034","2","13",3.24023189970569,0.270333879874308,Inf,2.73204736103263,3.79173669774187
"2014009-041","2","13",3.3466968155543,0.274739191649705,Inf,2.82987802446079,3.90683586601093
"2014009-046","2","13",3.31394595348082,0.271681703068422,Inf,2.80284963797601,3.86782234452123
"2014010-010","2","13",3.31374320431567,0.273383220919336,Inf,2.79958206701777,3.87122460097669
"W1406-001","2","13",2.8930942353392,0.257331270274316,Inf,2.41071578504558,3.41943582871278
"W1411-017","2","13",2.94354474633502,0.257660444658736,Inf,2.46019968424488,3.47021006778828
"W1425-006","2","13",4.365606777961,0.309895991908067,Inf,3.77934809737577,4.99411806356203
"2014001-005","1","14",4.07286596998675,0.305324275413093,Inf,3.49642295831187,4.69327212514277
"2014005-019","1","14",2.72652553901671,0.249804041001388,Inf,2.25889850673357,3.23811235384415
"2014005-024","1","14",3.26536775453605,0.268015370735974,Inf,2.76119358309829,3.81179453098961
"2014006-046","1","14",2.78930167447873,0.249250137433484,Inf,2.32217041799515,3.29921300301772
"2014007-001","1","14",3.32240774808893,0.273740399245345,Inf,2.807546554136,3.88058920140498
"2014008-016","1","14",3.2307368580894,0.268240340338216,Inf,2.72638407293611,3.77786688546346
"2014009-010","1","14",2.85548582134303,0.253777102725995,Inf,2.37975196958072,3.37453993246846
"2014009-012","1","14",4.19346982490964,0.307538287727212,Inf,3.61236598677874,4.81789392240365
"2014009-034","1","14",3.17315992128694,0.267521327614111,Inf,2.6704878837485,3.7191522181885
"2014009-041","1","14",3.30920680407678,0.275205222792158,Inf,2.7917943746477,3.8705790247076
"2014009-046","1","14",3.55422743818008,0.281349339360047,Inf,3.02418148646416,4.12705063090382
"2014010-010","1","14",3.16633308043436,0.267233395562788,Inf,2.66422537934651,3.71176104088533
"W1406-001","1","14",3.05136464872954,0.262336962739146,Inf,2.55885377962875,3.58719577719346
"W1411-017","1","14",3.19970296853368,0.268637887104984,Inf,2.69484251460654,3.74788368182395
"W1425-006","1","14",4.5140813614287,0.319078191701097,Inf,3.91035972712394,5.16112325509658
"2014001-005","2","14",4.15124670989834,0.308236436534987,Inf,3.56909428972422,4.7773589183873
"2014005-019","2","14",2.79072386768281,0.252737535033651,Inf,2.31734897688808,3.30806190930286
"2014005-024","2","14",3.33558876203455,0.27088184744884,Inf,2.82579639947705,3.88763372960785
"2014006-046","2","14",2.85423058022999,0.252126116214915,Inf,2.38146109481037,3.36977730949676
"2014007-001","2","14",3.39323616834088,0.276642865619908,Inf,2.87268624482747,3.95710635121741
"2014008-016","2","14",3.30058649411891,0.271133532209885,Inf,2.79056457301084,3.85338848927585
"2014009-010","2","14",2.92117611750673,0.256679569100558,Inf,2.43975353618394,3.44591895819264
"2014009-012","2","14",4.27299709631436,0.310440754101774,Inf,3.68620452862299,4.90310992336886
"2014009-034","2","14",3.2423876859696,0.270423793988674,Inf,2.73402691887068,3.79406871243164
"2014009-041","2","14",3.37989511555554,0.278139627993387,Inf,2.85673303191856,3.94702033899937
"2014009-046","2","14",3.62747239745535,0.284242974056582,Inf,3.09175644321369,4.2059684272326
"2014010-010","2","14",3.23548673758637,0.270135861937351,Inf,2.72769030693804,3.78660342759782
"W1406-001","2","14",3.11925806915596,0.265239429113709,Inf,2.62105847049468,3.66077792718035
"W1411-017","2","14",3.26921811166661,0.271540353479547,Inf,2.75866892817899,3.82308755451736
"W1425-006","2","14",4.59657875645639,0.32198065807566,Inf,3.98716839259115,5.24930937968475
"2014001-005","1","15",4.07924707981626,0.303320970259393,Inf,3.50640903203369,4.695405386962
"2014005-019","1","15",2.7893361835871,0.250820402920919,Inf,2.31939735695583,3.30259526958149
"2014005-024","1","15",3.67343803006578,0.287838438357517,Inf,3.13094518720035,4.25925113229433
"2014006-046","1","15",2.65203155052206,0.244569206278687,Inf,2.19434484416985,3.15303851623739
