"genotype","rep","image","perimeter","SE","df","asymp.LCL","asymp.UCL"
"W1411-017","2","10",12.8492283517847,1.00004248184762,Inf,10.9639284959278,14.8840229907906
"W1425-006","2","10",14.6885952683588,1.06922734664663,Inf,12.6676955692206,16.858989750646
"2014001-005","1","11",16.4532195376337,1.13163239621469,Inf,14.3100081888886,18.7459256695277
"2014005-019","1","11",9.04190094722945,0.859929954332405,Inf,7.43501132398135,10.8058748034187
"2014005-024","1","11",13.3335529195925,1.0187153966713,Inf,11.4116548231948,15.4049457991392
"2014006-046","1","11",10.4877361375818,0.903484698604982,Inf,8.79168605930747,12.333280999005
"2014007-001","1","11",9.99392696298843,0.881958217808422,Inf,8.34006801178927,11.7972806973366
"2014008-016","1","11",12.2533789298593,0.984117220644541,Inf,10.4004502508811,14.258118868939
"2014009-010","1","11",10.5318151469761,0.905381340205395,Inf,8.83204771947345,12.3810773576278
"2014009-012","1","11",13.6454031634957,1.03055959576206,Inf,11.7002908634544,15.740010246686
"2014009-034","1","11",12.6306874403682,0.991501600723075,Inf,10.7621274039117,14.6487422599738
"2014009-041","1","11",12.5927511865674,0.990011494094544,Inf,10.7271117054359,14.6078854508479
"2014009-046","1","11",12.6570098768886,0.992534210972216,Inf,10.7864259615336,14.6770885753925
"2014010-010","1","11",11.1439108590881,0.931319594360822,Inf,9.39330538761888,13.0440111137062
"W1406-001","1","11",9.40962953813254,0.855787991782469,Inf,7.80706328741153,11.1616905720025
"W1411-017","1","11",9.93062138772981,0.879160440183765,Inf,8.28224597991174,11.7284915786969
"W1425-006","1","11",15.8921309624199,1.11216953167024,Inf,13.7870661272179,18.1466905807708
"2014001-005","2","11",17.0025674130327,1.1503690223175,Inf,14.8226329519343,19.33199665728
"2014005-019","2","11",9.45030908516014,0.879095501671179,Inf,7.80584839026487,11.2518394347582
"2014005-024","2","11",13.8285356107353,1.03745202277409,Inf,11.8699144019844,15.9366516026353
"2014006-046","2","11",10.9272396877833,0.922221324707772,Inf,9.19446649715573,12.8095076615598
"2014007-001","2","11",10.423066342165,0.900694843911212,Inf,8.7324842786126,12.2631431888664
"2014008-016","2","11",12.728075085504,1.00295857010969,Inf,10.8382120035225,14.769737354324
"2014009-010","2","11",10.9722318570251,0.924117966308185,Inf,9.23574131716913,12.85821718003
"2014009-012","2","11",14.1460883801089,1.04929622186485,Inf,12.1642529677143,16.2774185756524
"2014009-034","2","11",13.1125677373896,1.01023822682587,Inf,11.2072845885797,15.1673456693483
"2014009-041","2","11",13.0739140546653,1.00874812019733,Inf,11.1715514611805,15.125771431299
"2014009-046","2","11",13.1393873359553,1.01127083707501,Inf,11.2320803082471,15.1961891468125
"2014010-010","2","11",11.5968158390356,0.950056220463611,Inf,9.80948725521319,13.533639206007
"W1406-001","2","11",9.8261689618934,0.874524617885259,Inf,8.18687959881913,11.6149531081166
"W1411-017","2","11",10.3584137447867,0.897897066286555,Inf,8.67331522461539,12.193007048107
"W1425-006","2","11",16.432108218502,1.13090615777303,Inf,14.2903202709468,18.7233909492062
"2014001-005","1","12",15.458848877833,1.10536952894701,Inf,13.3682700461839,17.7012389788722
"2014005-019","1","12",8.76666171393081,0.826032338237361,Inf,7.22241547249466,10.4604027385159
"2014005-024","1","12",12.4372124706239,0.983878459366653,Inf,10.583593516675,14.4403262077218
"2014006-046","1","12",10.7201486966754,0.91344064070284,Inf,9.00458533045711,12.5852068460426
"2014007-001","1","12",10.8952567652682,0.920870711555763,Inf,9.16513072777563,12.7748775859098
"2014008-016","1","12",11.2978137602259,0.944928254299262,Inf,9.52168800724435,13.2257387000461
"2014009-010","1","12",11.1493420009411,0.931546512574456,Inf,9.39829177794576,13.0498870070854
"2014009-012","1","12",14.2785411658786,1.05419716650393,Inf,12.2871000785012,16.4194770364049
"2014009-034","1","12",12.8634264885272,1.00059484263353,Inf,10.9770440254235,14.89930373478
"2014009-041","1","12",11.7840409673394,0.957694619361067,Inf,9.98174139677843,13.7358353210494
"2014009-046","1","12",12.587028346076,0.989786510624811,Inf,10.7218298244422,14.6017216508586
"2014010-010","1","12",9.89123698942088,0.877415352824773,Inf,8.24628188997631,11.6856868720144
